ar,aldur,eining,tegund,medaltal,tekjur
2012,16 - 24 ára,50,heildartekjur,2755.2443633465464,2286.6012010878303
2012,16 - 24 ára,60,heildartekjur,2755.2443633465464,2761.53487559163
2012,16 - 24 ára,70,heildartekjur,2755.2443633465464,3374.859819487265
2012,16 - 24 ára,80,heildartekjur,2755.2443633465464,4147.020197571258
2012,16 - 24 ára,90,heildartekjur,2755.2443633465464,5403.550018526675
2012,16 - 24 ára,99,heildartekjur,2755.2443633465464,10612.094157455764
2013,16 - 24 ára,10,heildartekjur,2826.713297256549,498.1192687720432
2013,16 - 24 ára,20,heildartekjur,2826.713297256549,1059.8282314298792
2013,16 - 24 ára,30,heildartekjur,2826.713297256549,1518.5824516059554
2013,16 - 24 ára,40,heildartekjur,2826.713297256549,1936.4575828554507
2013,16 - 24 ára,50,heildartekjur,2826.713297256549,2380.0713997253856
2013,16 - 24 ára,60,heildartekjur,2826.713297256549,2878.190668497429
2013,16 - 24 ára,70,heildartekjur,2826.713297256549,3464.124276445091
2013,16 - 24 ára,80,heildartekjur,2826.713297256549,4266.56565167057
2013,16 - 24 ára,90,heildartekjur,2826.713297256549,5491.424279137388
2013,16 - 24 ára,99,heildartekjur,2826.713297256549,10342.409498425006
2014,16 - 24 ára,10,heildartekjur,2905.0685768183043,485.1672240140886
2014,16 - 24 ára,20,heildartekjur,2905.0685768183043,1063.8070324712585
2014,16 - 24 ára,30,heildartekjur,2905.0685768183043,1534.1373383197788
2014,16 - 24 ára,40,heildartekjur,2905.0685768183043,1991.1144178192874
2014,16 - 24 ára,50,heildartekjur,2905.0685768183043,2459.9610318512505
2014,16 - 24 ára,60,heildartekjur,2905.0685768183043,2992.606393995158
2014,16 - 24 ára,70,heildartekjur,2905.0685768183043,3605.371114233136
2014,16 - 24 ára,80,heildartekjur,2905.0685768183043,4440.68960695464
2014,16 - 24 ára,90,heildartekjur,2905.0685768183043,5678.088581963049
2014,16 - 24 ára,99,heildartekjur,2905.0685768183043,10234.506150609124
2015,16 - 24 ára,10,heildartekjur,3099.2226051178213,562.0351874565997
2015,16 - 24 ára,20,heildartekjur,3099.2226051178213,1141.5883547819765
2015,16 - 24 ára,30,heildartekjur,3099.2226051178213,1627.712296140542
2015,16 - 24 ára,40,heildartekjur,3099.2226051178213,2116.7559008105704
2015,16 - 24 ára,50,heildartekjur,3099.2226051178213,2594.1208522347474
2015,16 - 24 ára,60,heildartekjur,3099.2226051178213,3169.29452459293
2015,16 - 24 ára,70,heildartekjur,3099.2226051178213,3855.415402786701
2015,16 - 24 ára,80,heildartekjur,3099.2226051178213,4785.328167487621
2015,16 - 24 ára,90,heildartekjur,3099.2226051178213,6064.140697908351
2015,16 - 24 ára,99,heildartekjur,3099.2226051178213,10807.133747379761
2016,16 - 24 ára,10,heildartekjur,3384.818301904853,671.7959988513448
2016,16 - 24 ára,20,heildartekjur,3384.818301904853,1274.6898439743468
2016,16 - 24 ára,30,heildartekjur,3384.818301904853,1772.7949969688268
2016,16 - 24 ára,40,heildartekjur,3384.818301904853,2286.6902268593853
2016,16 - 24 ára,50,heildartekjur,3384.818301904853,2820.6819182540444
2016,16 - 24 ára,60,heildartekjur,3384.818301904853,3483.865147889346
2016,16 - 24 ára,70,heildartekjur,3384.818301904853,4257.5789157971985
2016,16 - 24 ára,80,heildartekjur,3384.818301904853,5276.756606362273
2016,16 - 24 ára,90,heildartekjur,3384.818301904853,6689.250757793306
2016,16 - 24 ára,99,heildartekjur,3384.818301904853,11351.62982674452
2017,16 - 24 ára,10,heildartekjur,3647.8549148716015,777.2498291161069
2017,16 - 24 ára,20,heildartekjur,3647.8549148716015,1397.9211990091867
2017,16 - 24 ára,30,heildartekjur,3647.8549148716015,1939.5980309158747
2017,16 - 24 ára,40,heildartekjur,3647.8549148716015,2479.8642460728056
2017,16 - 24 ára,50,heildartekjur,3647.8549148716015,3079.3763647195306
2017,16 - 24 ára,60,heildartekjur,3647.8549148716015,3797.380290345843
2017,16 - 24 ára,70,heildartekjur,3647.8549148716015,4592.968137208792
2017,16 - 24 ára,80,heildartekjur,3647.8549148716015,5617.075897532373
2017,16 - 24 ára,90,heildartekjur,3647.8549148716015,7141.95260401969
2017,16 - 24 ára,99,heildartekjur,3647.8549148716015,11967.672504938386
2018,16 - 24 ára,10,heildartekjur,3747.69287895444,743.2191523146452
2018,16 - 24 ára,20,heildartekjur,3747.69287895444,1371.0401368022476
2018,16 - 24 ára,30,heildartekjur,3747.69287895444,1939.7882496641016
2018,16 - 24 ára,40,heildartekjur,3747.69287895444,2527.7693904971297
2018,16 - 24 ára,50,heildartekjur,3747.69287895444,3181.6923415170395
2018,16 - 24 ára,60,heildartekjur,3747.69287895444,3949.639672651765
2018,16 - 24 ára,70,heildartekjur,3747.69287895444,4765.6695737144255
2018,16 - 24 ára,80,heildartekjur,3747.69287895444,5817.990961280078
2018,16 - 24 ára,90,heildartekjur,3747.69287895444,7379.987590081837
2018,16 - 24 ára,99,heildartekjur,3747.69287895444,12428.657432514963
2019,16 - 24 ára,10,heildartekjur,3703.2593356691027,620.0992405783697
2019,16 - 24 ára,20,heildartekjur,3703.2593356691027,1274.8706967589708
2019,16 - 24 ára,30,heildartekjur,3703.2593356691027,1858.9641749811772
2019,16 - 24 ára,40,heildartekjur,3703.2593356691027,2440.3905596955196
2019,16 - 24 ára,50,heildartekjur,3703.2593356691027,3097.829109383985
2019,16 - 24 ára,60,heildartekjur,3703.2593356691027,3896.6236149892393
2019,16 - 24 ára,70,heildartekjur,3703.2593356691027,4736.758069966386
2019,16 - 24 ára,80,heildartekjur,3703.2593356691027,5818.264487405219
2019,16 - 24 ára,90,heildartekjur,3703.2593356691027,7393.183203798885
2019,16 - 24 ára,99,heildartekjur,3703.2593356691027,12524.671112929136
2020,16 - 24 ára,10,heildartekjur,3628.087204141159,418.8249345738364
2020,16 - 24 ára,20,heildartekjur,3628.087204141159,1104.7642237055995
2020,16 - 24 ára,30,heildartekjur,3628.087204141159,1692.1564694082244
2020,16 - 24 ára,40,heildartekjur,3628.087204141159,2284.73540160712
2020,16 - 24 ára,50,heildartekjur,3628.087204141159,2979.7513921073564
2020,16 - 24 ára,60,heildartekjur,3628.087204141159,3836.8513356160433
2020,16 - 24 ára,70,heildartekjur,3628.087204141159,4747.114815711502
2020,16 - 24 ára,80,heildartekjur,3628.087204141159,5871.329113778115
2020,16 - 24 ára,90,heildartekjur,3628.087204141159,7387.138242313145
2020,16 - 24 ára,99,heildartekjur,3628.087204141159,12691.821856373717
2021,16 - 24 ára,10,heildartekjur,3777.869351171159,505.28847385036534
2021,16 - 24 ára,20,heildartekjur,3777.869351171159,1224.114091440934
2021,16 - 24 ára,30,heildartekjur,3777.869351171159,1857.2765525310724
2021,16 - 24 ára,40,heildartekjur,3777.869351171159,2464.3676181645583
2021,16 - 24 ára,50,heildartekjur,3777.869351171159,3169.536790515928
2021,16 - 24 ára,60,heildartekjur,3777.869351171159,4019.960880411506
2021,16 - 24 ára,70,heildartekjur,3777.869351171159,4890.24889065501
2021,16 - 24 ára,80,heildartekjur,3777.869351171159,6033.6658056824945
2021,16 - 24 ára,90,heildartekjur,3777.869351171159,7532.150296929156
2021,16 - 24 ára,99,heildartekjur,3777.869351171159,12774.98377375985
2022,16 - 24 ára,10,heildartekjur,4002.6112266112264,645.3236313236313
2022,16 - 24 ára,20,heildartekjur,4002.6112266112264,1384.6375606375605
2022,16 - 24 ára,30,heildartekjur,4002.6112266112264,2031.107415107415
2022,16 - 24 ára,40,heildartekjur,4002.6112266112264,2699.355509355509
2022,16 - 24 ára,50,heildartekjur,4002.6112266112264,3429.4996534996535
2022,16 - 24 ára,60,heildartekjur,4002.6112266112264,4274.266112266112
2022,16 - 24 ára,70,heildartekjur,4002.6112266112264,5170.612612612612
2022,16 - 24 ára,80,heildartekjur,4002.6112266112264,6342.052668052667
2022,16 - 24 ára,90,heildartekjur,4002.6112266112264,7896.331254331254
2022,16 - 24 ára,99,heildartekjur,4002.6112266112264,12985.562023562023
2023,16 - 24 ára,10,heildartekjur,4092.1908618023335,604.0250808379024
2023,16 - 24 ára,20,heildartekjur,4092.1908618023335,1408.3377102957027
2023,16 - 24 ára,30,heildartekjur,4092.1908618023335,2060.853460799475
2023,16 - 24 ára,40,heildartekjur,4092.1908618023335,2722.856516237874
2023,16 - 24 ára,50,heildartekjur,4092.1908618023335,3479.7326210225406
2023,16 - 24 ára,60,heildartekjur,4092.1908618023335,4356.781254979146
2023,16 - 24 ára,70,heildartekjur,4092.1908618023335,5300.241023478138
2023,16 - 24 ára,80,heildartekjur,4092.1908618023335,6495.641445241107
2023,16 - 24 ára,90,heildartekjur,4092.1908618023335,8055.776034490838
